㐷	horse; knight
㑇	beautiful; clever
㓥	butcher; to cut open; to chop up
㔾	"seal" radical in Chinese characters
㖊	fathom
㖞	awry
㗂	tight-lipped
㘎	growl; to roar
㛀	pregnant woman
㛂	graceful; frail and petite
㝉	store
㝵	obtain
㞎	poo
㞗	penis; dick
㟥	uneven
㣟	go
㤘	stubborn
㥏	ashamed
㧐	stand upright
㧑	split
㧟	scratch
㧯	round-bottomed wicker basket
㧰	beat
㪃	beat; to hit
㫰	dry in the sun; to dry in the air
㱩	abortion
㱮	fester; to ulcerate
㱾	a kind of metal or jade ornament worn in ancient times to ward off evil spirits
㲋	ancient name for an animal similar to rabbit but bigger
㳘	flow down
㴋	sound of rain and wind
㵐	Jue River in Hubei
㵮	clear water
㶶	burn
㸌	twinkle; to glint
㹴	terrier
㺵	black jade
㻅	jade ornament in the seams of cap
㻬	a kind of jade
㿠	pale due to qi and blood deficiency
䁖	glance at
䅟	panicum frumentaceum
䅵	chaff
䉤	basket for draining rice
䌷	silk
䌸	tie up
䌹	monotone garment with no lining
䍁	tassel
䍃	vase; pitcher
䎃	down
䏝	gizzard
䓕	type of grass
䓬	tropylium ion
䕭	a kind of vegetable
䗪	Chinese ground beetle
䜣	pleased
䝙	animal resembling a tiger
䠀	squat; to sit
䯄	piebald horse
䲟	shark sucker
䳭	wheatear
䴓	nuthatch
䴔	a kind of aquatic bird
䴕	woodpecker
一	one
丁	male adult
丂	"breath" or "sigh" component in Chinese characters
七	seven
万	ten thousand
丈	husband
三	three
上	up; upper; above; previous
下	down
丌	"pedestal" component in Chinese characters
不	no; not so
与	take part in
丏	hidden from view
丐	beg for alms
丑	clown
专	expert
且	and
丕	grand
世	life
丘	mound
丙	third in order
业	line of business
丛	cluster
东	east
丝	silk
丞	deputy
丢	lose
两	two
严	tight
丧	die
丨	radical in Chinese characters
个	individual
丫	fork
中	hit
丮	catch
丰	abundant
丱	two tufts of hair
串	string together
丳	skewer
临	face
丵	thick grass
丷	"eight" component in Chinese characters
丸	ball
丹	red
为	as
主	owner
丼	bowl of steamed rice with other food on top
丽	beautiful
举	lift
乀	stretch
乂	regulate
乃	be
久	long
乇	"blade of grass" component in Chinese characters
么	exclamatory final particle
义	Italy
之	him
乌	crow
乍	at first
乎	in
乏	short of
乐	happy
乑	stand side by side
乒	ping
乓	bang
乔	tall
乖	alert
乘	ride
乙	second in order
乜	what?
九	nine
乞	beg
也	also; too; as well; either
习	practice
乡	country or countryside
书	book
乩	divine
乪	a bend in a river
买	buy
乱	in confusion or disorder
乳	breast
乴	grasp
乸	feminine suffix
乾	male principle
亃	mythical animal, said to have yellow body and white tail
亄	covetous; greedy; stingy
了	finish
予	me
争	strive for
事	matter
二	two
亍	step with the right foot
于	go
亏	lose ; to have a deficit
云	say
互	mutual
亓	his
五	five
井	a well
亘	extending all the way across
亚	Asia
些	classifier indicating a small amount or small number greater than 1: some, a few, several
亟	repeatedly
亠	"lid" radical in Chinese characters
亡	die
亢	high
交	intersect
亥	ancient Chinese compass point: 330°
亦	also
产	give birth
亨	prosperous
亩	15 hectare
享	enjoy
